id,num_orders
1028232,151.0
1127204,151.0
1212707,151.0
1082698,114.0
1400926,92.0
1284113,192.0
1197966,192.0
1132739,169.0
1057981,363.0
1095932,373.0
1454421,404.0
1149765,202.0
1166964,162.0
1010949,202.0
1409575,122.0
1181616,43.0
1456020,316.0
1264395,308.0
1472931,298.0
1412015,182.0
1461229,134.0
1014564,146.0
1485914,109.0
1345389,109.0
1006833,109.0
1174921,26.0
1175393,26.0
1152412,42.0
1497398,45.0
1363486,48.0
1366766,67.0
1192413,67.0
1319547,646.0
1337684,646.0
1479766,1112.0
1460444,582.0
1139730,659.0
1115056,659.0
1335827,120.0
1385333,703.0
1096323,703.0
1230693,642.0
1027016,180.0
1181520,204.0
1306234,180.0
1271440,1134.0
1269834,570.0
1176823,1134.0
1193098,116.0
1034878,116.0
1010243,199.0
1451807,199.0
1016845,199.0
1198021,149.0
1413802,115.0
1231223,93.0
1274226,454.0
1425142,613.0
1211593,661.0
1419190,165.0
1180223,165.0
1194932,330.0
1323477,218.0
1371595,326.0
1171521,606.0
1052384,606.0
1060921,606.0
1261811,200.0
1246502,200.0
1497466,200.0
1232717,103.0
1136112,103.0
1196334,896.0
1349533,208.0
1463406,208.0
1447686,106.0
1336105,106.0
1012855,469.0
1180646,540.0
1062490,1154.0
1098228,322.0
1101375,322.0
1400016,322.0
1439889,92.0
1408468,90.0
1044490,112.0
1290002,632.0
1190633,632.0
1040430,583.0
1049366,253.0
1224120,310.0
1293810,233.0
1197335,857.0
1323989,514.0
1129467,857.0
1229328,146.0
1164395,146.0
1217722,238.0
1171266,238.0
1024905,217.0
1343027,178.0
1141892,196.0
1302404,175.0
1170447,526.0
1140772,696.0
1103484,788.0
1387134,66.0
1117711,66.0
1472121,67.0
1289523,614.0
1091114,476.0
1043572,476.0
1103283,1406.0
1265051,1406.0
1168741,1406.0
1052776,202.0
1206564,202.0
1302153,202.0
1083754,116.0
1097952,112.0
1251605,116.0
1333032,1169.0
1086936,270.0
1088412,270.0
1236400,153.0
1244516,56.0
1380381,56.0
1495062,919.0
1439647,799.0
1019214,923.0
1316160,830.0
1022008,830.0
1138248,830.0
1052922,125.0
1181474,96.0
1046475,96.0
1216688,1170.0
1067565,1170.0
1008328,1170.0
1430287,319.0
1406716,325.0
1105380,325.0
1248694,920.0
1252163,494.0
1443474,920.0
1033716,63.0
1300295,63.0
1311882,63.0
1257968,312.0
1226362,319.0
1030655,312.0
1210527,1281.0
1278927,83.0
1232239,90.0
1133067,435.0
1382522,435.0
1219136,435.0
1498130,76.0
1251629,76.0
1032092,72.0
1249865,413.0
1207630,413.0
1144733,413.0
1436768,66.0
1148964,65.0
1237346,1017.0
1206015,181.0
1105113,178.0
1430481,63.0
1001589,67.0
1224132,99.0
1074380,354.0
1097109,513.0
1211246,469.0
1390579,327.0
1473058,327.0
1186964,327.0
1222837,84.0
1342393,63.0
1170472,89.0
1170791,89.0
1046653,89.0
1195179,207.0
1332509,207.0
1438300,210.0
1435748,714.0
1052668,662.0
1227060,358.0
1342252,33.0
1143109,37.0
1394807,37.0
1448374,84.0
1028680,84.0
1079691,84.0
1402079,89.0
1424446,92.0
1133297,414.0
1076214,414.0
1173823,414.0
1488584,41.0
1072892,41.0
1277491,37.0
1290868,361.0
1048888,361.0
1138141,361.0
1473125,56.0
1196726,56.0
1179278,56.0
1282305,923.0
1359903,67.0
1355143,67.0
1095889,89.0
1250665,89.0
1426610,111.0
1390104,922.0
1051519,922.0
1337584,542.0
1332667,5449.0
1075942,5449.0
1109804,1477.0
1316684,126.0
1248315,266.0
1113611,266.0
1110867,559.0
1247289,559.0
1022953,559.0
1160081,400.0
1120430,400.0
1487280,400.0
1020081,2559.0
1329551,1218.0
1137610,2549.0
1072530,330.0
1115708,360.0
1203532,330.0
1494216,933.0
1116374,629.0
1032497,629.0
1413930,902.0
1136118,187.0
1254872,155.0
1398257,841.0
1364001,983.0
1369843,832.0
1379360,196.0
1442044,196.0
1285290,199.0
1129707,1050.0
1086750,511.0
1147262,668.0
1025605,985.0
1414158,1021.0
1082079,1021.0
1467510,474.0
1374892,474.0
1171352,474.0
1213246,128.0
1279131,128.0
1256386,249.0
1234220,3517.0
1008206,416.0
1267686,416.0
1470186,235.0
1233312,149.0
1279379,149.0
1431703,1854.0
1339938,692.0
1010552,1489.0
1237947,441.0
1175098,441.0
1066074,634.0
1045918,88.0
1226081,50.0
1148633,162.0
1441429,162.0
1291804,357.0
1305194,181.0
1327840,162.0
1320801,170.0
1467101,608.0
1473989,602.0
1466330,608.0
1390856,192.0
1120639,192.0
1279275,192.0
1166120,83.0
1128404,137.0
1252491,89.0
1328056,303.0
1452353,510.0
1353276,478.0
1297182,33.0
1469299,34.0
1129687,350.0
1362599,511.0
1245170,1168.0
1098570,568.0
1452600,568.0
1194207,568.0
1023619,249.0
1254600,249.0
1157094,249.0
1165391,95.0
1131248,282.0
1383646,890.0
1288250,198.0
1476141,198.0
1401237,154.0
1383510,75.0
1433607,75.0
1098207,881.0
1453624,901.0
1089046,714.0
1306954,1507.0
1413179,1507.0
1379869,1507.0
1037218,175.0
1247919,300.0
1097438,300.0
1441938,672.0
1060769,672.0
1409283,752.0
1397517,370.0
1220386,406.0
1297481,370.0
1309280,1330.0
1013813,900.0
1087803,1279.0
1256077,188.0
1328392,188.0
1197947,468.0
1134877,468.0
1149222,468.0
1321757,1054.0
1364052,150.0
1346914,116.0
1343936,740.0
1284997,610.0
1443980,629.0
1272226,87.0
1267791,87.0
1049345,74.0
1300007,527.0
1220471,514.0
1486124,612.0
1183373,1071.0
1076787,1071.0
1218918,1071.0
1351627,574.0
1333350,574.0
1312936,574.0
1477543,134.0
1408514,134.0
1256773,134.0
1174904,748.0
1392815,278.0
1389126,278.0
1074816,193.0
1124612,97.0
1318251,72.0
1089252,602.0
1396463,602.0
1289632,1310.0
1083889,299.0
1121896,299.0
1004866,299.0
1234436,86.0
1311318,63.0
1476647,63.0
1419834,769.0
1188670,160.0
1260238,160.0
1263791,261.0
1070835,264.0
1433069,264.0
1349084,705.0
1360259,678.0
1022475,459.0
1037167,33.0
1492031,33.0
1057541,33.0
1483675,105.0
1463966,105.0
1474096,134.0
1440771,90.0
1452763,153.0
1382621,414.0
1035365,414.0
1355984,414.0
1140520,39.0
1168148,281.0
1052343,281.0
1370827,281.0
1055728,69.0
1053449,56.0
1368579,56.0
1208370,648.0
1027455,79.0
1147326,88.0
1203029,77.0
1389643,102.0
1482071,58.0
1411487,885.0
1043533,885.0
1294351,520.0
1409427,324.0
1000264,324.0
1016463,324.0
1224218,62.0
1485114,136.0
1006410,135.0
1221242,170.0
1031339,555.0
1153545,170.0
1182144,111.0
1194788,111.0
1082828,111.0
1265773,566.0
1154515,257.0
1105986,344.0
1293017,99.0
1272587,99.0
1027143,121.0
1179146,121.0
1342337,121.0
1269746,47.0
1369030,287.0
1109605,300.0
1099603,300.0
1319113,23.0
1155697,39.0
1218892,170.0
1493357,170.0
1202597,170.0
1116108,76.0
1229780,76.0
1391127,76.0
1085957,808.0
1267409,87.0
1245159,113.0
1378973,113.0
1079844,169.0
1024089,169.0
1463712,218.0
1268331,495.0
1058344,495.0
1417277,495.0
1056035,235.0
1343254,170.0
1262833,170.0
1272751,441.0
1013213,441.0
1263405,441.0
1204818,103.0
1333742,103.0
1043262,103.0
1449237,1108.0
1080908,1470.0
1073524,1108.0
1196482,278.0
1068138,278.0
1320427,280.0
1184166,620.0
1228572,620.0
1075131,620.0
1128915,135.0
1182843,96.0
1094044,496.0
1209858,589.0
1222963,500.0
1037477,152.0
1001694,152.0
1054299,152.0
1371044,541.0
1254718,541.0
1086268,541.0
1003757,139.0
1448276,139.0
1489645,999.0
1491279,432.0
1408337,432.0
1360068,244.0
1316400,244.0
1110618,236.0
1146271,379.0
1474849,432.0
1352055,491.0
1245977,156.0
1165288,155.0
1081099,155.0
1441467,111.0
1336838,200.0
1106150,200.0
1190084,218.0
1232610,218.0
1321845,218.0
1159511,465.0
1441739,206.0
1096623,381.0
1474925,55.0
1118719,55.0
1297074,41.0
1054861,279.0
1208736,244.0
1161439,244.0
1282737,147.0
1194305,147.0
1353044,147.0
1063225,65.0
1116078,59.0
1075416,64.0
1088172,43.0
1320248,290.0
1271591,291.0
1127237,260.0
1243020,392.0
1416839,392.0
1172788,392.0
1473056,136.0
1060753,136.0
1053540,441.0
1261815,669.0
1489999,441.0
1133739,77.0
1384693,77.0
1072117,207.0
1023989,221.0
1183974,207.0
1171351,90.0
1004475,90.0
1080300,81.0
1164653,50.0
1444590,23.0
1169717,177.0
1399692,177.0
1393811,177.0
1177147,37.0
1455218,31.0
1478944,106.0
1415824,106.0
1041241,106.0
1045506,61.0
1210059,800.0
1139397,67.0
1008295,71.0
1406978,104.0
1470180,46.0
1326956,174.0
1268964,174.0
1267165,330.0
1414458,330.0
1105486,330.0
1246396,64.0
1223814,169.0
1208097,169.0
1426257,367.0
1402266,367.0
1273610,873.0
1082679,327.0
1061395,327.0
1448891,327.0
1121802,828.0
1017920,564.0
1220913,828.0
1201769,108.0
1214790,108.0
1055980,108.0
1143296,141.0
1161381,141.0
1049400,143.0
1388858,89.0
1367157,68.0
1056911,92.0
1363870,450.0
1206999,530.0
1220962,474.0
1244866,61.0
1161719,61.0
1492231,319.0
1492759,349.0
1408726,349.0
1337818,545.0
1136894,545.0
1050836,545.0
1157808,603.0
1438743,603.0
1092027,603.0
1286976,90.0
1244383,90.0
1220086,90.0
1014137,576.0
1460613,162.0
1269949,162.0
1022949,63.0
1118546,93.0
1006832,417.0
1461216,417.0
1333438,634.0
